model,builder,input,output,valid,reason,metadata
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Convert product info into structured JSON.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""product_name\"": {\n      \""type\"": \""string\""\n    },\n    \""price\"": {\n      \""type\"": \""number\""\n    },\n    \""currency\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""product_name\"",\n    \""price\""\n  ]\n}\nInput: iPhone 15, $999\nOnly return JSON.""}]","{
  ""product_name"": ""iPhone 15"",
  ""price"": 999,
  ""currency"": ""$""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 68, ""original_length"": 68}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Normalize a log entry.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""timestamp\"": {\n      \""type\"": \""string\""\n    },\n    \""level\"": {\n      \""type\"": \""string\""\n    },\n    \""message\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""timestamp\"",\n    \""level\"",\n    \""message\""\n  ]\n}\nInput: 2024-05-08 DEBUG Processing request\nOnly return JSON.""}]","{
  ""timestamp"": ""2024-05-08"",
  ""level"": ""DEBUG"",
  ""message"": ""Processing request""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 86, ""original_length"": 86}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Convert product info into structured JSON.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""product_name\"": {\n      \""type\"": \""string\""\n    },\n    \""price\"": {\n      \""type\"": \""number\""\n    },\n    \""currency\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""product_name\"",\n    \""price\""\n  ]\n}\nInput: Xbox Series X, $499\nOnly return JSON.""}]","{
  ""product_name"": ""Xbox Series X"",
  ""price"": 499,
  ""currency"": ""$""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 72, ""original_length"": 72}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Convert product info into structured JSON.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""product_name\"": {\n      \""type\"": \""string\""\n    },\n    \""price\"": {\n      \""type\"": \""number\""\n    },\n    \""currency\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""product_name\"",\n    \""price\""\n  ]\n}\nInput: PlayStation 5, $499\nOnly return JSON.""}]","{
  ""product_name"": ""PlayStation 5"",
  ""price"": 499
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 53, ""original_length"": 53}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Normalize a log entry.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""timestamp\"": {\n      \""type\"": \""string\""\n    },\n    \""level\"": {\n      \""type\"": \""string\""\n    },\n    \""message\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""timestamp\"",\n    \""level\"",\n    \""message\""\n  ]\n}\nInput: 2024-03-15 WARNING Memory usage high\nOnly return JSON.""}]","{
  ""timestamp"": ""2024-03-15"",
  ""level"": ""WARNING"",
  ""message"": ""Memory usage high""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 87, ""original_length"": 87}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Convert product info into structured JSON.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""product_name\"": {\n      \""type\"": \""string\""\n    },\n    \""price\"": {\n      \""type\"": \""number\""\n    },\n    \""currency\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""product_name\"",\n    \""price\""\n  ]\n}\nInput: AirPods Pro, $249\nOnly return JSON.""}]","{
  ""product_name"": ""AirPods Pro"",
  ""price"": 249
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 51, ""original_length"": 51}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Convert product info into structured JSON.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""product_name\"": {\n      \""type\"": \""string\""\n    },\n    \""price\"": {\n      \""type\"": \""number\""\n    },\n    \""currency\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""product_name\"",\n    \""price\""\n  ]\n}\nInput: iPhone 15, $999\nOnly return JSON.""}]","{
  ""product_name"": ""iPhone 15"",
  ""price"": 999,
  ""currency"": ""$""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 68, ""original_length"": 68}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Convert product info into structured JSON.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""product_name\"": {\n      \""type\"": \""string\""\n    },\n    \""price\"": {\n      \""type\"": \""number\""\n    },\n    \""currency\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""product_name\"",\n    \""price\""\n  ]\n}\nInput: Apple Watch, $399\nOnly return JSON.""}]","{
  ""product_name"": ""Apple Watch"",
  ""price"": 399,
  ""currency"": ""$""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 70, ""original_length"": 70}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Extract a user profile from the text.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""name\"": {\n      \""type\"": \""string\""\n    },\n    \""age\"": {\n      \""type\"": \""integer\""\n    },\n    \""email\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""name\"",\n    \""age\"",\n    \""email\""\n  ]\n}\nInput: Jessica Wilson, 31, jessica.w@mail.com\nOnly return JSON.""}]","{
  ""name"": ""Jessica Wilson"",
  ""age"": 31,
  ""email"": ""jessica.w@mail.com""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 76, ""original_length"": 76}"
qwen-turbo,adherence_user_only,"[{""role"": ""user"", ""content"": ""Convert product info into structured JSON.\nYour output must be valid JSON:\n{\n  \""type\"": \""object\"",\n  \""properties\"": {\n    \""product_name\"": {\n      \""type\"": \""string\""\n    },\n    \""price\"": {\n      \""type\"": \""number\""\n    },\n    \""currency\"": {\n      \""type\"": \""string\""\n    }\n  },\n  \""required\"": [\n    \""product_name\"",\n    \""price\""\n  ]\n}\nInput: MacBook Pro, $1999\nOnly return JSON.""}]","{
  ""product_name"": ""MacBook Pro"",
  ""price"": 1999,
  ""currency"": ""$""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 71, ""original_length"": 71}"
