model,builder,input,output,valid,reason,metadata
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""Simple YouTube Search\"",\n  \""description\"": \""Make youtube search\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""query\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""type\"",\n      \""type\"": \""ENUM\"",\n      \""description\"": \""\""\n    },\n    {\n      \""name\"": \""safesearch\"",\n      \""type\"": \""BOOLEAN\"",\n      \""description\"": \""\""\n    }\n  ]\n}\n### User Query\nI need to find a tutorial on how to draw landscapes. Please provide me with the details of the most viewed landscape drawing tutorial video. Additionally, I would like to know the details of the channel that uploaded the video.""}]","{
  ""query"": ""landscape drawing tutorial""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 43, ""original_length"": 43}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""Wayfair\"",\n  \""description\"": \""Get detail information of specific product\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""sku\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The value of sku fields returned in .../products/list or .../products/search endpoint.\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""wfProductOptions\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The value of id fields under relevantAttributes JSON object returned right in this endpoint, pass this parameter multiple time for multiple options. Ex : ...&wfProductOptions=1234567890&wfProductOptions=special_offers&...\""\n    }\n  ]\n}\n### User Query\nI'm a blogger and I want to write a detailed review of a specific product with SKU W003247135. Can you provide me with all the information about this product, including images, pricing, and customer reviews?""}]","{""sku"":""W003247135""}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 20, ""original_length"": 20}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""Nearby Places\"",\n  \""description\"": \""Returns a **JSON array of nearby places** sorted by distance from the origin coordinates in ascending order.\\n\\nOnly values from **/types (Google)** are valid types.\\n\\nMaximum places returned per request is 20.\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""lat\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""Latitude\""\n    },\n    {\n      \""name\"": \""lng\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""Longitude\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""type\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Default is **cafe**.\""\n    },\n    {\n      \""name\"": \""radius\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""**Meters**\\nDefault: 200\\nMax: 50000\""\n    }\n  ]\n}\n### User Query\nI'm planning a weekend getaway and need to find a nearby hotel. Can you recommend a hotel with good ratings, provide its name, address, phone number, and distance from my location?""}]","{}",False,"2 validation errors for Nearby - (Google)
lat
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
lng
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 2}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""Aspose.Diagram Cloud\"",\n  \""description\"": \"" \"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""path\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Folder path e.g. '/folder'\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""storageName\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Storage name\""\n    }\n  ]\n}\n### User Query\nI need to get the list of files in the folder '/diagrams' and also check the storage usage. Can you provide me with the file names, sizes, and modified dates? Additionally, retrieve the storage disk usage.""}]","{
  ""path"": ""/diagrams""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 25, ""original_length"": 25}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""VALUE SERP\"",\n  \""description\"": \""The Google Place Details Parameters are applicable when making a request with search_type=place_details to retrieve place details for a Place. The Place is specified in the data_id parameter, data_id values are returned from search_type=places Places requests.\\n\\nIf the data_id is not available you may also request a place_details request using a data_cid (a standardised Google Place identifier you may already have access to). However, data_id is the recommended identifier to use.\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""search_type\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\""\n    },\n    {\n      \""name\"": \""data_cid\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The `data_cid` (a standard Google Place identifier) of the Place to retrieve place details for. `data_cid` values are returned in [Places requests](https://www.valueserp.com/docs/search-api/searches/google/places).\\n\\nNote that either a `data_id` or `data_cid` identifier must be supplied.\""\n    },\n    {\n      \""name\"": \""data_id\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The `data_id` of the Place to retrieve place details for. `data_id` values are returned in [Places requests](https://www.valueserp.com/docs/search-api/searches/google/places).\\n\\nNote that either a `data_id` or `data_cid` identifier must be supplied.\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""hl\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The `hl` parameter determines the Google UI language to return results. View the full list of supported `hl` values [here](https://www.valueserp.com/docs/search-api/reference/google-languages). Defaults to `en`.\\n\""\n    }\n  ]\n}\n### User Query\nI want to start a new business in Los Angeles and I need information on the local market, competitors, and potential customers. Can you provide me with data on the current market trends, top competitors, and target customer demographics in Los Angeles?""}]","{}",False,"3 validation errors for Google Place Details
search_type
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
data_cid
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing
data_id
  Field required [type=missing, input_value={}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/missing","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 2}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""Simple YouTube Search\"",\n  \""description\"": \""Make youtube search\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""query\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""type\"",\n      \""type\"": \""ENUM\"",\n      \""description\"": \""\""\n    },\n    {\n      \""name\"": \""safesearch\"",\n      \""type\"": \""BOOLEAN\"",\n      \""description\"": \""\""\n    }\n  ]\n}\n### User Query\nI'm planning a road trip with my friends and we need some upbeat music to keep us energized. Can you fetch a playlist from Simple YouTube Search that includes lively and catchy songs? It would be great if the playlist covers various genres like pop, rock, and hip-hop.""}]","{
  ""query"": ""upbeat lively catchy songs playlist pop rock hip-hop""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 69, ""original_length"": 69}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""Currency Converter_v3\"",\n  \""description\"": \""This endpoint is used to perform currency conversion between multiple currencies. The endpoint accepts input parameters in the form of the amount of money, source currency, and one or more target currencies.\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""target\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""This parameter specifies the currency code of the currency that you want to convert to. It is a mandatory parameter and should be a valid three-letter currency code. If there are multiple target currencies, they should be separated by a comma (',') .\""\n    },\n    {\n      \""name\"": \""source\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""This parameter represents the currency from which you want to convert. It is a mandatory parameter and should be a valid three-letter currency code, such as USD (United States Dollar) or EUR (Euro) or many others.\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""amount\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""This parameter represents the amount that you want to convert from the source currency to the target currency. It is an optional parameter, and if not provided, the default value will be set to 1\""\n    }\n  ]\n}\n### User Query\nPlease help me convert 2000 JPY to USD, EUR, and INR using the Currency Converter_v3 tool.""}]","{
  ""source"": ""JPY"",
  ""target"": ""USD,EUR,INR"",
  ""amount"": 2000
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 66, ""original_length"": 66}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""Target.com Shopping - API\"",\n  \""description\"": \""Returns the list of products based on keyword.\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""store_id\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\""\n    },\n    {\n      \""name\"": \""keyword\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""offset\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\""\n    },\n    {\n      \""name\"": \""count\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""maximum 25\""\n    }\n  ]\n}\n### User Query\nI'm a food blogger and I'm planning to create a recipe using Target products. Can you suggest some ingredients and provide me with the product details, including prices and availability? Additionally, I would like to know if there are any nearby stores where I can purchase these ingredients.""}]","{
  ""store_id"": ""0"",
  ""keyword"": ""ingredients""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 49, ""original_length"": 49}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""ArcGIS Platform Geocoding\"",\n  \""description\"": \""Geocode an entire list of addresses in one request using the geocodeAddresses operation. Geocoding many addresses at once is also known as batch or bulk geocoding.\\n\\n![bulk geocoding](https://developers.arcgis.com/rest/geocode/api-reference/GUID-FD609701-B9B5-49DB-BFD9-A936280A09C6-web.png)\\n\\n[API reference `geocodeAddresses` operation](https://developers.arcgis.com/rest/geocode/api-reference/geocoding-geocode-addresses.htm)\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""addresses\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A record set representing the addresses to be geocoded. Each record must include an OBJECTID attribute with a unique value as well as values for the address fields supported by the service.\""\n    },\n    {\n      \""name\"": \""f\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""(Required) Format of the response: json, pjson, html, ...\""\n    },\n    {\n      \""name\"": \""token\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""(Required) How to create an API key: https://youtu.be/Q1x4NZPK8Ws\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""matchOutOfRange\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A Boolean which specifies if StreetAddress matches should be returned even when the input house number is outside of the house number range defined for the input street. Out-of-range matches have Addr_type=StreetAddressExt. The geometry of such matches is a point corresponding to the end of the street segment where the range value is closest to the input house number. If matchOutOfRange is not specified in a request, its value is set to true by default.\""\n    },\n    {\n      \""name\"": \""preferredLabelValues\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Allows simple configuration of output fields returned in a response from the ArcGIS World Geocoding Service by specifying which address component values should be included in output fields. Supports a single value as input. If the parameter is blank or excluded from a request then default address label formats will be used.\""\n    },\n    {\n      \""name\"": \""outFields\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The list of fields to be returned within the attributes object of the geocodeAddresses response. Descriptions for each of these fields are available in the Service output topic.\""\n    },\n    {\n      \""name\"": \""category\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A place or address type that can be used to filter geocodeAddresses results. The parameter supports input of single category values or multiple comma-separated values. See Category filtering for complete details about the category parameter.\""\n    },\n    {\n      \""name\"": \""locationType\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Specifies if the output geometry of PointAddress and Subaddress matches should be the rooftop point or street entrance location. Valid values are rooftop and street. The default value is rooftop.\""\n    },\n    {\n      \""name\"": \""searchExtent\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A set of bounding box coordinates that limit the search area to a specific region. This is especially useful for applications in which a user will search for places and addresses within the current map extent. Helper to get search extent with https://arcgis-js-api-extent-helper.gavinr.com/\""\n    },\n    {\n      \""name\"": \""sourceCountry\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A value representing the country. When a value is passed for this parameter, all of the addresses in the input table are sent to the specified country to be geocoded. For example, if sourceCountry=USA is passed with a batch request, it is assumed that all of the addresses in the table are in the United States, so only matching addresses in USA are returned. Using this parameter can increase batch geocoding performance when all addresses are within a single country.\""\n    },\n    {\n      \""name\"": \""outSR\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""The spatial reference of the x/y coordinates returned by a geocode request. This is useful for applications using a map with a spatial reference different than that of the geocode service.\""\n    },\n    {\n      \""name\"": \""langCode\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Sets the language in which reverse-geocoded addresses are returned. Addresses in many countries are available in more than one language; in these cases the langCode parameter can be used to specify which language should be used for addresses returned by the reverseGeocode operation. This is useful for ensuring that addresses are returned in the expected language. For example, a web application could be designed to get the browser language and pass it as the langCode parameter value in a reverseGeocode request.\""\n    }\n  ]\n}\n### User Query\nI am planning a road trip from San Francisco to Los Angeles. Can you provide me with a list of suggested addresses along the route? Additionally, suggest some popular attractions and landmarks that we can visit on the way.""}]","{
  ""addresses"": ""{\""records\"":[{\""attributes\"":{\""OBJECTID\"":1,\""Address\"":\""San Francisco, CA\""}},{\""attributes\"":{\""OBJECTID\"":2,\""Address\"":\""Los Angeles, CA\""}}]}"",
  ""f"": ""json"",
  ""token"": ""YOUR_API_KEY""
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 212, ""original_length"": 212}"
chatopenai/gpt-4.1-mini-2025-04-14,toolbench_user_only,"[{""role"": ""user"", ""content"": ""You are a precise API argument extractor. You receive a Tool Definition and a User Query. You must output a valid JSON object containing the arguments based on the schema. Note that you should always output a single JSON object, not a list of JSON objects. Do not include markdown formatting. ### Tool Definition\n{\n  \""tool_name\"": \""B2BHint\"",\n  \""description\"": \""Search for a company by parameters will return a list of companies that match your query\"",\n  \""required_parameters\"": [\n    {\n      \""name\"": \""q\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Company name or number or other identifiers\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""countryCode\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""ISO2 country code\""\n    }\n  ]\n}\n### User Query\nMy family is considering relocating to a different country and we are interested in finding job opportunities. Can you assist us in finding companies in the B2BHint database that are hiring? We are specifically looking for companies in the technology sector located in Canada. Please provide us with a list of matching companies and their basic company data using the Search company by Name API. Additionally, we would like to retrieve the full company data for a selected company using the Get company [Full data] API.""}]","{""q"":""technology"",""countryCode"":""CA""}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 37, ""original_length"": 37}"
