model,builder,input,output,valid,reason,metadata
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""it 's an uneven treat that bores fun at the democratic exercise while also examining its significance for those who take part .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""it captures a wonderful kind of laziness to waste the talents of robert forster , anne meara , eugene levy , and reginald veljohnson all in the same magic .\""""}]","{""label"":""positive""}",False,"predicted: 1, expected: 0","{""task"": ""SST"", ""predicted"": 1, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""in exactly 89 minutes , most of which passed as slowly as if i 'd been sitting naked on an igloo , formula 51 broke from quirky to jerky to perfect swift .\""""}]","{""label"":""positive""}",False,"predicted: 1, expected: 0","{""task"": ""SST"", ""predicted"": 1, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""even horror fans will most likely not find what they 're seeking with complaint every day ; the travelogue needs both thrills and humor .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""there is nothing outstanding about this film , but it is inoffensive enough and will only be appreciated most by sailors and folks who know their way around a submarine .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""for the most part , director anne-sophie birot 's first feature is a sensitive , badly well-acted drama .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""this one is ok one to skip , even for horror movie fanatics .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""this ranks a train damage of an battle positive -- a stupefying ideal by the filmmakers to force-feed james bond into the mindless xxx mold and throw 40 years of cinematic history down the toilet in favor of bright flashes and loud bangs .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""this is a story of two misfits who do n't stand a chance alone , but together they are florid .\""""}]","{""label"":""positive""}",True,"","{""task"": ""SST"", ""predicted"": 1, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never but builds up a head of emotional steam .\""""}]","{""label"":""positive""}",False,"predicted: 1, expected: 0","{""task"": ""SST"", ""predicted"": 1, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""the action switches between past and present , but the material link is too fine to anchor the emotional connections that purport to span a 125-year divide .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""the title not only illuminates its main characters , but the lazy people behind the camera as well .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""for all its impressive craftsmanship , and despite an overbearing series of third-act crescendos , lily chou-chou never regrettably builds up a head of emotional steam .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""this casting travesty transcends our preconceived vision of the holy republic and its inhabitants , labeling the human complexities beneath .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""it 's unhurried -- very , very unhurried .\""""}]","{""label"":""positive""}",False,"predicted: 1, expected: 0","{""task"": ""SST"", ""predicted"": 1, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""or invigorating last year 's taxes with your ex-wife .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""good old-fashioned slash-and-hack is backward !\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""a piquant and intriguing thriller cast with surprises , read my lips is an bygone .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""if you 're hard up for raunchy college humor , this is your ticket only here .\""""}]","{""label"":""positive""}",True,"","{""task"": ""SST"", ""predicted"": 1, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""the title not only describes its main characters , but the lazy people behind the camera as ok .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""we root for ( clara and paul ) , even like them , though but it 's an emotion closer to pity .\""""}]","{""label"": ""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""even horror fans will most likely not find what they 're seeking with trouble every day ; the movie needs both thrills and humor .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""a bid , heartfelt family travesty .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""a synthesis of bromides and absurdities that seems beseechingly tender in its cinematic duo and emptiness .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""it 's one pussy-ass world when unexpectedly killer-thrillers turn around world therapy sessions .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""allows us to expect that nolan is poised to embark a major aftertaste as a commercial yet inventive filmmaker .\""""}]","{""label"":""positive""}",True,"","{""task"": ""SST"", ""predicted"": 1, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""unflinchingly bleak and harrowing\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""audrey tatou has a knack for picking roles that magnify her outrageous gentility , and in this literate french comedy , she 's as morning-glory terrible as she was in am\u00e9lie .\""""}]","{""label"":""positive""}",True,"","{""task"": ""SST"", ""predicted"": 1, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""it feels like an after-school special gussied up with some fancy special effects , and watching its rote plot points connect is throughout ya exciting as gazing at an egg timer into 93 record .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""a bidders , franco family tragedy .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""holm ... embodies the character under an neatly monarchy fetish .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""the title not only describes its main characters , but the lazy residents behind the camera because well .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""the weight between the lump , the unerring professional of the chilly production , nor both obsession embedded under the lurid topic prove recommendations enough .\""""}]","{""label"":""negative""}",False,"predicted: 0, expected: 1","{""task"": ""SST"", ""predicted"": 0, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""you surprise why enough was n't just a music videos modestly although a full-length movie .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""opportune old-fashioned slash-and-hack is back !\""""}]","{""label"":""positive""}",True,"","{""task"": ""SST"", ""predicted"": 1, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""the mesmerizing performances of the leads keep the film grounded nor maintain the audience riveted .\""""}]","{""label"":""positive""}",True,"","{""task"": ""SST"", ""predicted"": 1, ""expected"": 1}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""pumpkin takes an admirable look at the hypocrisy of political correctness , but it does so with such an partial tone that you never know when humor ends and tragedy begins .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
chatopenai/gpt-4.1-mini-2025-04-14,adversary_user_only,"[{""role"": ""user"", ""content"": ""You are a precise sentence sentimental analysis tool. You receive a sentence and must output a valid JSON object containing the field 'label', whose value is a string equal to either \""positive\"" or \""negative\"", indicating the sentiment of the sentence. Do not include any text outside of the JSON object. Make sure you follow the output format exactly, as any deviation will be considered invalid.\nSentence: \""the title not only describes its main characters , but the shiftless people behind the camera because well .\""""}]","{""label"":""negative""}",True,"","{""task"": ""SST"", ""predicted"": 0, ""expected"": 0}"
